review_id,product_id,product_name,category,rating,review_text,review_date,verified_purchase,helpful_count,review_length,true_sentiment,month,is_holiday_season
R000001,P0048,Jeans,Fashion,4,Exceeded my expectatinos! easy to use. Wuld buy again. Bought this for my spouse.,2025-04-01 16:36:18.433295,False,4,14,positive,4,False
R000002,P0493,Puzzle,Toys & Games,1,Worst puzzle ever. stopped working. Want my bucks back!1! 😭,2024-09-26 16:36:18.433295,True,2,10,negative,9,False
R000003,P0999,Laptop,Electronics,3,"does what it's supposed to. Standard laptop, nothing remarkable. This is my second purchase.",2025-04-09 16:36:18.433295,True,5,14,neutral,4,False
R000004,P0190,Speaker,Electronics,4,Absolutely love this speaker! excellent build quality. Highly recommend!,2023-11-04 16:36:18.433295,True,12,9,positive,11,True
R000005,P0483,Knife Set,Home & Kitchen,5,Exceeded my expectations! incredible value. Would buy again. This is my second purchase.,2024-07-27 16:36:18.433295,False,4,13,positive,7,False
R000006,P0666,Cookbook,Books,4,excellent build quality. This cookbook is exactly what I needed!,2025-02-06 16:36:18.433295,True,4,10,positive,2,False
R000007,P0822,Shoes,Fashion,5,"super comfortable. Great shoes, totally satisfied with my purchase.",2024-05-26 16:36:18.433295,True,7,9,positive,5,False
R000008,P0697,Vitamins,Health & Household,4,Absolutely love this vitamins! easy to use. Highly recommend!,2025-05-27 16:36:18.433295,True,7,9,positive,5,False
R000009,P0159,Makeup Kit,Beauty & Personal Care,2,Horrible experience. poor customer service. Would not recommend.,2024-10-28 16:36:18.433295,False,3,8,negative,10,False
R000010,P0526,Smartwatch,Electronics,5,Absolutely love this smartwatch! super comfortable. Highly recommend!,2024-05-27 16:36:18.433295,True,4,8,positive,5,False
R000011,P0099,First Aid Kit,Health & Household,5,Best first aid kit I've ever purchased. looks fantastic. Worth every penny. Bought this for my spouse.,2024-06-17 16:36:18.433295,True,4,17,positive,6,False
R000012,P0632,Textbook,Books,5,Absolutely love this textbook! amazing performance. Highly recommend! Got this on sale.,2025-02-23 16:36:18.433295,True,10,12,positive,2,False
R000013,P0128,Shampoo,Beauty & Personal Care,5,Exceeded my expectations!!! works perfectly. Would buy again. Using it daily. 👍,2025-01-21 16:36:18.433295,False,12,12,positive,1,True
R000014,P0874,Fitness Tracker,Sports & Outdoors,5,Best fitness tracker I've ever purchased. amazing performance. Worth every penny.,2023-08-06 16:36:18.433295,True,5,11,positive,8,False
R000015,P0859,Makeup Kit,Beauty & Personal Care,5,Absolutely love this makeup kit! great customer service. Highly recommend! Using it daily.,2025-03-24 16:36:18.433295,False,3,13,positive,3,False
R000016,P0875,Moisturizer,Beauty & Personal Care,5,Exceeded my expectations! incredible value. Would buy again. Bought this for my spouse.,2024-06-08 16:36:18.433295,True,2,13,positive,6,False
R000017,P0841,Cookware Set,Home & Kitchen,5,"beautiful design. Great cookware set, very satisfied with my purchase.",2024-01-04 16:36:18.433295,True,2,10,positive,1,True
R000018,P0907,Tablet,Electronics,1,Terrible tablet. terrible quality. Very disappointed. 👎,2023-08-09 16:36:18.433295,True,2,7,negative,8,False
R000019,P0678,Makeup Kit,Beauty & Personal Care,3,Average makeup kit. fair value. Gets the job done.,2024-07-25 16:36:18.433295,False,2,9,neutral,7,False
R000020,P0116,Jacket,Fashion,1,Horrible expeerience. missing parts. Would not recommend. Bought this for my spouse.,2023-08-14 16:36:18.433295,True,2,12,negative,8,False
R000021,P0410,Scale,Health & Household,4,looks fantastic. This scale is exactly whta I needed!,2024-03-19 16:36:18.433295,False,6,9,positive,3,False
R000022,P0931,Biography,Books,4,Exceeded my expectations!!!! beautiful design. Would buy again.,2024-04-25 16:36:18.433295,True,6,8,positive,4,False
R000023,P0616,Vitamins,Health & Household,4,Amazing quality and works perfectly. 5 stars!,2025-07-01 16:36:18.433295,True,6,7,positive,7,False
R000024,P0050,Tent,Sports & Outdoors,2,Worst tent ever. missing parts. Want my money back! Bought this for my spouse.,2023-09-23 16:36:18.433295,True,13,14,negative,9,False
R000025,P0314,Self-Help Book,Books,4,Fantastic purchase. amazing performance. Excellent value for money.,2024-06-29 16:36:18.433295,True,5,8,positive,6,False
R000026,P0421,Textbook,Books,3,"Not sucks, not awesome. functional but basic. Just average.",2024-11-27 16:36:18.433295,True,2,9,neutral,11,True
R000027,P0166,Fitness Tracker,Sports & Outdoors,5,Fantastic purchase. fast shipping. Excellent value for money.,2024-06-02 16:36:18.433295,True,3,8,positive,6,False
R000028,P0081,Smartwatch,Electronics,4,Best smartwatch I've ever purchased. amazing performance. Worth every penny. Got this on sale.,2024-11-07 16:36:18.433295,True,1,14,positive,11,True
R000029,P0965,Shoes,Fashion,3,The shoes is okay.. decent quality. Nothing special.,2024-06-28 16:36:18.433295,False,3,8,neutral,6,False
R000030,P0097,Camera,Electronics,3,The camera is okay. functional but basic. Nothing special. Using it daily.,2024-06-30 16:36:18.433295,True,1,12,neutral,6,False
R000031,P0576,Backpack,Sports & Outdoors,3,"Acceptable backpack. nothing special. Could be better. Compared to my previous one, this is better.",2024-06-14 16:36:18.433295,False,3,15,neutral,6,False
R000032,P0239,Laptop,Electronics,4,Exceeded my expectations! looks fantastic. Would buy again.,2025-02-16 16:36:18.433295,False,7,8,positive,2,False
R000033,P0628,Shirt,Fashion,5,"Absolutely love this shirt! very durable. Highly recommend! Compared to my previous one, this is better.",2024-02-01 16:36:18.433295,True,4,16,positive,2,False
R000034,P0860,Laptop,Electronics,3,"functional but basic. Standard laptop, nothing remarkable.",2023-11-29 16:36:18.433295,True,1,7,neutral,11,True
R000035,P0155,Smartwatch,Electronics,5,super comfortable. This smartwatch is exactly what I needed!,2025-05-02 16:36:18.433295,True,9,9,positive,5,False
R000036,P0870,Fitness Tracker,Sports & Outdoors,3,Average fitness tracker. average performance. Gets the job done.,2023-11-24 16:36:18.433295,True,1,9,neutral,11,True
R000037,P0290,Video Game,Toys & Games,5,Amazing quality and great customer service. 5 stars!,2024-02-01 16:36:18.433295,False,3,8,positive,2,False
R000038,P0545,Puzzle,Toys & Games,5,"grreat customer service. Great puzzle, very satisfied with my purchase.",2025-01-30 16:36:18.433295,True,7,10,positive,1,True
R000039,P0534,Lego Set,Toys & Games,5,Best lego set I've ever purchased. amazing performance. Worth every penny.,2025-05-11 16:36:18.433295,True,2,11,positive,5,False
R000040,P0395,Lego Set,Toys & Games,1,Complete disaster. doesn't work as advertised. Save your money! Bought this for my spouse.,2025-04-07 16:36:18.433295,True,6,14,negative,4,False
R000041,P0524,Yoga Mat,Sports & Outdoors,2,Terrible yoga mat. cheap materials. Very disappointed.,2024-10-12 16:36:18.433295,True,8,7,negative,10,False
R000042,P0949,Yoga Mat,Sports & Outdoors,5,Best yoga mat I've ever purchased. works perfectly. Worth every penny.,2025-07-06 16:36:18.433295,True,5,11,positive,7,False
R000043,P0798,Toaster,Home & Kitchen,3,Average toaster. meets expectations. Gets the job done.,2024-12-24 16:36:18.433295,True,2,8,neutral,12,True
R000044,P0146,Smartwatch,Electronics,5,very durable. This smartwatch is exactly what I needed!,2023-08-31 16:36:18.433295,False,2,9,positive,8,False
R000045,P0371,Novel,Books,1,Horrible experience. broke after a week. Would not recommend.,2024-11-11 16:36:18.433295,True,4,9,negative,11,True
R000046,P0929,Bike,Sports & Outdoors,1,Worst bike ever. uncomfortable to use. Want my money back!,2025-02-14 16:36:18.433295,False,7,10,negative,2,False
R000047,P0563,Blender,Home & Kitchen,4,Absolutely ❤️ this blender!1! super comfortable. Highly rrecommend!1!,2025-01-27 16:36:18.433295,True,6,8,positive,1,True
R000048,P0401,Smartwatch,Electronics,5,Fantastic purchase. outstanding features. Excellent value for money.,2025-03-17 16:36:18.433295,True,5,8,positive,3,False
R000049,P1000,Air Purifier,Health & Household,5,Fantastic purchase. incredible value. Excellent value for money.,2024-05-23 16:36:18.433295,False,1,8,positive,5,False
R000050,P0245,Hair Dryer,Beauty & Personal Care,4,Perfect hair dryer! incredible value. Couldn't be happier.,2024-02-11 16:36:18.433295,False,3,8,positive,2,False
R000051,P0149,Action Figure,Toys & Games,5,Fantastic purchase. excellent build quality. Exclelent value for money.,2024-07-08 16:36:18.433295,False,9,9,positive,7,False
R000052,P0168,Scale,Health & Household,4,Perfect scale! very durable. Couldn't be happier. Bought this for my spouse.,2024-03-15 16:36:18.433295,True,1,12,positive,3,False
R000053,P0055,Cookbook,Books,1,Horrible experience. arrived damaged. Would not recommend.,2025-04-18 16:36:18.433295,True,5,7,negative,4,False
R000054,P0625,Hair Dryer,Beauty & Personal Care,2,Worst hair dryer ever. missing parts. Want my money back! Bought this for my spouse.,2024-12-07 16:36:18.433295,True,3,15,negative,12,True
R000055,P0748,Puzzle,Toys & Games,4,"beautiful design. Great puzzle, very satisfied with my purchase. This is my second purchase.",2024-12-11 16:36:18.433295,True,12,14,positive,12,True
R000056,P0156,Toaster,Home & Kitchen,5,Exceeded my expectations! super comfortable. Would buy again. Using it daily.,2024-02-21 16:36:18.433295,True,3,11,positive,2,False
R000057,P0130,Cookbook,Books,4,Best cookbook I've ever purchased. outstanding features. Worth every penny. Been using it for a month now.,2024-09-17 16:36:18.433295,True,6,17,positive,9,False
R000058,P0474,Shampoo,Beauty & Personal Care,2,Complete disaster. horrible design. Save your $$!1!,2025-01-26 16:36:18.433295,False,1,7,negative,1,True
R000059,P0047,Action Figure,Toys & Games,1,Terrible action figure. poorr customer service. Very disappointed. 🔥,2025-03-31 16:36:18.433295,True,4,9,negative,3,False
R000060,P0280,Vacuum,Home & Kitchen,5,Fantastic purchase. totally durable. Excellent value for bucks.,2025-04-02 16:36:18.433295,False,5,8,positive,4,False
R000061,P0843,Board Game,Toys & Games,5,Amazing quality and hella durable. 5 stars!1!,2024-06-16 16:36:18.433295,False,4,7,positive,6,False
R000062,P0773,First Aid Kit,Health & Household,5,Absolutely love this first aid kit! great customer service. Hihgly recommend!,2025-03-06 16:36:18.433295,True,5,11,positive,3,False
R000063,P0164,Speaker,Electronics,5,Amazing quality and beautiful design. 5 stars!,2025-02-26 16:36:18.433295,True,5,7,positive,2,False
R000064,P0693,Air Purifier,Health & Household,5,Perfect air purifier! excellent build quality. Couldn't be happier. Bought this for my spouse.,2024-12-28 16:36:18.433295,False,6,14,positive,12,True
R000065,P0681,Tablet,Electronics,5,Perfect tablet! super comfortable. Couldn't be happier.,2024-03-01 16:36:18.433295,True,5,7,positive,3,False
R000066,P0366,Biography,Books,4,Exceeded my expectations! fast shipping. Would buy again.,2025-06-29 16:36:18.433295,False,4,8,positive,6,False
R000067,P0487,Cookbook,Books,4,Absolutely love this cookbook! great customer service. Highly recommend!,2024-10-05 16:36:18.433295,True,5,9,positive,10,False
R000068,P0749,Humidifier,Health & Household,5,Perfect humidifier! amazing performance. Couldn't be happier.,2023-10-15 16:36:18.433295,True,6,7,positive,10,False
R000069,P0231,Action Figure,Toys & Games,4,Amazing quality and easy to use. 5 stars!,2024-04-21 16:36:18.433295,False,5,8,positive,4,False
R000070,P0304,First Aid Kit,Health & Household,3,"basic features. Standard first aid kit, nothing remarkable.",2024-04-17 16:36:18.433295,True,4,8,neutral,4,False
R000071,P0065,Perfume,Beauty & Personal Care,4,"outstanding features. Great perfume, very satisfied with my purchase. Been using it for a month now.",2024-07-14 16:36:18.433295,False,10,16,positive,7,False
R000072,P0187,Humidifier,Health & Household,4,super comfortable. This humidifier is exactly what I needed!,2025-02-05 16:36:18.433295,False,5,9,positive,2,False
R000073,P0268,Tent,Sports & Outdoors,1,missing parts. This tent is a complete waste of money.,2023-09-08 16:36:18.433295,True,3,10,negative,9,False
R000074,P0740,Air Purifier,Health & Household,2,Worst air purifier ever. broke after a week. Want my money back!,2024-07-06 16:36:18.433295,False,5,12,negative,7,False
R000075,P0262,Running Shoes,Sports & Outdoors,1,Horrible experience. doesn't work as advertised. Would not recommend. Using it daily.,2024-09-03 16:36:18.433295,True,7,12,negative,9,False
R000076,P0557,Self-Help Book,Books,4,Amazing quality and works perfectly. 5 stars! Been using it for a month now.,2024-11-05 16:36:18.433295,True,4,14,positive,11,True
R000077,P0802,Textbook,Books,5,Amazing quality and great customer service. 5 stars!,2023-12-11 16:36:18.433295,True,6,8,positive,12,True
R000078,P0255,Hair Dryer,Beauty & Personal Care,5,Absolutely adore this hair dryer!!!! super durable. Highly recommend!!!! Bought this for my spouse.,2024-02-06 16:36:18.433295,True,6,14,positive,2,False
R000079,P0568,Knife Set,Home & Kitchen,5,Perfect knife set! great customer service. Couldn't be happier. Bought this for my spouse.,2025-07-08 16:36:18.433295,False,5,14,positive,7,False
R000080,P0766,Bike,Sports & Outdoors,3,The bike works as expected. standard quality. Bought this for my spouse.,2024-06-20 16:36:18.433295,False,2,12,neutral,6,False
R000081,P0656,Jeans,Fashion,2,Worst jeans ever. uncomfortable to use. Want my money back! Got this on sale.,2024-05-02 16:36:18.433295,False,3,14,negative,5,False
R000082,P0223,Headphones,Electronics,4,Perfect headphones! fas shipping. Couldn't be happier.,2025-05-23 16:36:18.433295,True,9,7,positive,5,False
R000083,P0968,Laptop,Electronics,5,Fantastic purchase. fire customer service. Excellent value for cash. 👍,2024-07-26 16:36:18.433295,True,4,10,positive,7,False
R000084,P0920,Shoes,Fashion,5,Absolutely love this shoes! fast shipping. Highly recommend! Been using it for a month now.,2024-05-16 16:36:18.433295,True,2,15,positive,5,False
R000085,P0562,Running Shoes,Sports & Outdoors,1,Awful running shoes. false advertising. Returning immediately.,2023-12-07 16:36:18.433295,True,5,7,negative,12,True
R000086,P0839,Jacket,Fashion,5,"Exceeded my expectations! works perfectly. Would buy again. Compared to my previous one, this is better.",2025-07-09 16:36:18.433295,True,4,16,positive,7,False
R000087,P0164,Biography,Books,4,Amazing quality and incredible value. 5 stars!!!! Got this on sale. 🔥,2025-06-04 16:36:18.433295,True,4,12,positive,6,False
R000088,P0245,Biography,Books,1,Awful biography. poor customer service. Returning immediately. This is my second purchase.,2024-10-27 16:36:18.433295,False,0,12,negative,10,False
R000089,P0690,Jeans,Fashion,5,Amazing quality and great customer service. 5 stars!,2023-07-31 16:36:18.433295,False,3,8,positive,7,False
R000090,P0324,Hair Dryer,Beauty & Personal Care,3,Average hair dryer. meets expectations. Gets the job done.,2024-07-30 16:36:18.433295,True,1,9,neutral,7,False
R000091,P0908,Headphones,Electronics,5,beautiful design. This headphones is exactly what I needed! Been using it for a month now.,2024-10-10 16:36:18.433295,True,10,16,positive,10,False
R000092,P0739,Headphones,Electronics,5,Absolutely love this headphones! easy to use. Highly recommend! Got this on sale.,2024-11-05 16:36:18.433295,True,4,13,positive,11,True
R000093,P0698,Yoga Mat,Sports & Outdoors,1,Do not buy!1! false advertising. Extremely poor quality.,2023-11-10 16:36:18.433295,True,4,8,negative,11,True
R000094,P0470,Lego Set,Toys & Games,3,The lego set works as expected. decent quality. Bought this for my spouse.,2023-09-02 16:36:18.433295,False,1,13,neutral,9,False
R000095,P0362,Yoga Mat,Sports & Outdoors,3,"Not bad, not great. basic features. Just average. This is my second purchase.",2023-10-17 16:36:18.433295,True,3,13,neutral,10,False
R000096,P0549,Makeup Kit,Beauty & Personal Care,4,works perfectly. This makeup kit is exactly what I needed!,2025-03-24 16:36:18.433295,True,7,10,positive,3,False
R000097,P0259,Coffee Maker,Home & Kitchen,5,Amazing quality and fast shipping. 5 stars!,2024-12-02 16:36:18.433295,False,3,7,positive,12,True
R000098,P0038,Textbook,Books,2,Horrible experience. cheap materials. Would not recommend.,2025-04-03 16:36:18.433295,False,6,7,negative,4,False
R000099,P0070,Scale,Health & Household,5,Fantastic purchase. super comfortable. Excellent value for cash.,2024-01-29 16:36:18.433295,True,7,8,positive,1,True
R000100,P0147,Perfume,Beauty & Personal Care,5,Exceeded my expectations! super comfortable. Would buy again. Bought this for my spouse.,2024-10-03 16:36:18.433295,True,10,13,positive,10,False
R000101,P0356,Air Purifier,Health & Household,5,"looks fantastic. Great air purifier, very satisfied with my purchase.",2024-03-12 16:36:18.433295,False,3,10,positive,3,False
R000102,P0838,Video Game,Toys & Games,4,Perfect video game! works perfectly. Couldn't be happier.,2024-12-24 16:36:18.433295,False,6,8,positive,12,True
R000103,P0413,Perfume,Beauty & Personal Care,3,The perfume works as expected. functional but basic. This is my second purchase.,2023-10-01 16:36:18.433295,True,3,13,neutral,10,False
R000104,P0783,Smartwatch,Electronics,2,terrible quality. This smartwatch broke after just a few days. Bought this for my spouse.,2024-02-05 16:36:18.433295,True,6,15,negative,2,False
R000105,P0750,Tablet,Electronics,5,Absolutely love this tablet! incredible value. Highly recommend!,2024-03-26 16:36:18.433295,True,8,8,positive,3,False
R000106,P0038,Makeup Kit,Beauty & Personal Care,3,"Not bad, not great. basic features. Just average.",2024-12-25 16:36:18.433295,True,1,8,neutral,12,True
R000107,P0193,Jeans,Fashion,5,Amazing quality and fast shipping. 5 stars!,2023-08-22 16:36:18.433295,True,6,7,positive,8,False
