review_id,product_id,product_name,category,rating,review_text,review_date,verified_purchase,helpful_count,review_length,true_sentiment,month,is_holiday_season,cleaned_text,char_count,word_count,avg_word_length,exclamation_count,question_count,caps_ratio,positive_word_count,negative_word_count,textblob_polarity,textblob_subjectivity,review_hour,review_dayofweek,review_month,is_weekend
R000001,P0032,Jacket,Fashion,5,Best jacket I've ever purchased. amazing performance. Worth every penny.,2023-12-27 14:32:46.756578,False,6,10,positive,12,True,best jacket ever purchased . amazing performance . worth every penny .,72,10,6.3,0,0,0.041666666666666664,2,0,0.6333333333333334,0.43333333333333335,14,2,12,0
R000002,P0210,Cookware Set,Home & Kitchen,5,Perfect cookware set very durable. Couldn't be happier. Using it daily.,2023-12-07 14:32:46.756578,False,4,11,positive,12,True,perfect cookware set durable . could not be_NOT happier . using daily .,71,11,5.545454545454546,0,0,0.04225352112676056,1,0,0.39999999999999997,0.43333333333333335,14,3,12,0
R000003,P0250,Makeup Kit,Beauty & Personal Care,5,dope customer service. This makeup kit is exactly what I needed!!!! Been using it for a month now.,2025-07-16 14:32:46.756578,True,3,18,positive,7,False,dope customer service . makeup kit exactly needed ! ! ! ! using month .,98,18,4.5,4,0,0.030612244897959183,0,0,0.6103515625,0.25,14,2,7,0
R000005,P0970,Smartwatch,Electronics,4,Best smartwatch I've ever purchased. great customer service. Worth every penny.,2023-08-23 14:32:46.756578,True,4,11,positive,8,False,best smartwatch ever purchased . great customer service . worth every penny .,79,11,6.2727272727272725,0,0,0.0379746835443038,2,0,0.7000000000000001,0.38333333333333336,14,2,8,0
R000006,P0041,Bike,Sports & Outdoors,1,Horrible experience. doesn't work as advertised. Would not recommend. This is my second purchase.,2024-09-22 14:32:46.756578,True,5,14,negative,9,False,horrible experience . not work_NOT as_NOT advertised . would not recommend . second purchase .,97,14,6.0,0,0,0.030927835051546393,0,1,-0.5,0.5,14,6,9,1
R000008,P0152,Perfume,Beauty & Personal Care,3,Acceptable perfume. fair value. Could be better. This is my second purchase.,2025-04-13 14:32:46.756578,True,1,12,neutral,4,False,acceptable perfume . fair value . could better . second purchase .,76,12,5.416666666666667,0,0,0.039473684210526314,0,0,0.39999999999999997,0.4666666666666666,14,6,4,1
R000009,P0585,Toaster,Home & Kitchen,5,"Fantastic purchase. fast shipping. Excellent value for cash. Compared to my previous one, this is better. 👍",2024-09-19 14:32:46.756578,True,3,17,positive,9,False,"fantastic purchase . fast shipping . excellent value cash . compared previous one , better .",107,17,5.352941176470588,0,0,0.028037383177570093,2,0,0.38666666666666666,0.6333333333333333,14,3,9,0
R000010,P0163,Self-Help Book,Books,2,poor customer service. This self-help book broke after just a few days.,2025-02-16 14:32:46.756578,True,9,12,negative,2,False,poor customer service . self-help book broke day .,71,12,5.0,0,0,0.014084507042253521,0,1,-0.30000000000000004,0.35,14,6,2,1
R000011,P0300,Fitness Tracker,Sports & Outdoors,5,Best fitness tracker I've evr purchased. fast shipping. Worth every penny.,2024-08-07 14:32:46.756578,True,4,11,positive,8,False,best fitness tracker evr purchased . fast shipping . worth every penny .,74,11,5.818181818181818,0,0,0.04054054054054054,1,0,0.5,0.3333333333333333,14,2,8,0
R000013,P0272,Video Game,Toys & Games,5,Best video game I've ever purchased. beautiful design. Worth ehella penny.,2024-12-16 14:32:46.756578,True,7,11,positive,12,True,best video game ever purchased . beautiful design . worth ehella penny .,74,11,5.818181818181818,0,0,0.04054054054054054,2,0,0.4375,0.45,14,0,12,0
R000014,P0755,Video Game,Toys & Games,5,"looks fantastic. Great video game, very satisfied with my purchase. Using it daily.",2025-05-30 14:32:46.756578,False,5,13,positive,5,False,"look fantastic . great video game , satisfied purchase . using daily .",83,13,5.461538461538462,0,0,0.024096385542168676,2,0,0.29000000000000004,0.61,14,4,5,0
R000016,P0263,Cookbook,Books,1,stopped working. This cookbook is a complete waste of money.,2023-08-18 14:32:46.756578,True,4,10,negative,8,False,stopped working . cookbook complete waste money .,60,10,5.1,0,0,0.016666666666666666,0,1,-0.05,0.2,14,4,8,0
R000017,P0996,Self-Help Book,Books,2,poor customer service. This self-help book is a copmlete waste of money.,2024-06-28 14:32:46.756578,True,4,12,negative,6,False,poor customer service . self-help book copmlete waste money .,72,12,5.083333333333333,0,0,0.013888888888888888,0,2,-0.30000000000000004,0.3,14,4,6,0
R000020,P0960,First Aid Kit,Health & Household,5,"amazing performance. Great first aid kit, very satisfied with my purchase. Bought this for my spouse.",2024-03-29 14:32:46.756578,False,8,16,positive,3,False,"amazing performance . great first aid kit , satisfied purchase . bought spouse .",101,16,5.375,0,0,0.019801980198019802,2,0,0.5750000000000001,0.7458333333333333,14,4,3,0
R000021,P0334,Knife Set,Home & Kitchen,3,Average kinfe set. meets expectations. Gets the job done. Been using it for a month now.,2024-08-06 14:32:46.756578,True,1,16,neutral,8,False,average kinfe set . meet expectation . get job done . using month .,88,16,4.5625,0,0,0.03409090909090909,0,0,-0.15,0.39999999999999997,14,1,8,0
R000022,P0220,Self-Help Book,Books,3,functional but basic. It's a decent self-help book for the price. Using it daily.,2025-03-18 14:32:46.756578,False,3,14,neutral,3,False,functional basic . decent self-help book price . using daily .,81,14,4.857142857142857,0,0,0.024691358024691357,0,0,0.05555555555555555,0.2638888888888889,14,1,3,0
R000024,P0202,Cookware Set,Home & Kitchen,1,stopped working. This cookware set is a complete waste of money.,2025-04-18 14:32:46.756578,True,6,11,negative,4,False,stopped working . cookware set complete waste money .,64,11,4.909090909090909,0,0,0.015625,0,1,-0.05,0.2,14,4,4,0
R000025,P0430,Air Purifier,Health & Household,5,Best air purifier I've ever purchased. fast shipping. Worth every penny.,2025-07-17 14:32:46.756578,True,3,11,positive,7,False,best air purifier ever purchased . fast shipping . worth every penny .,72,11,5.636363636363637,0,0,0.041666666666666664,1,0,0.5,0.3333333333333333,14,3,7,0
R000029,P0695,Laptop,Electronics,1,complete waste of money. This laptop is a complete waste of money.,2025-06-11 14:32:46.756578,True,6,12,negative,6,False,complete waste money . laptop complete waste money .,66,12,4.583333333333333,0,0,0.015151515151515152,0,2,-0.05,0.2,14,2,6,0
R000030,P0511,Fitness Tracker,Sports & Outdoors,5,Absolutely love this fitness tracker! fast shipping. Highly recommend! Got this on sale.,2024-04-09 14:32:46.756578,False,3,13,positive,4,False,absolutely love fitness tracker ! fast shipping . highly recommend ! got sale .,88,13,5.846153846153846,2,0,0.03409090909090909,1,0,0.3416666666666666,0.58,14,1,4,0
R000032,P0304,Scale,Health & Household,4,Best scale I've ever purchased. excellent build quality. Worth every penny. Got this on sale.,2024-02-29 14:32:46.756578,True,1,15,positive,2,False,best scale ever purchased . excellent build quality . worth every penny . got sale .,93,15,5.266666666666667,0,0,0.043010752688172046,2,0,0.7666666666666666,0.46666666666666673,14,3,2,0
R000033,P0978,Humidifier,Health & Household,5,Perfect humidifier!!!! outstanding features. Couldn't be happier. Got this on sale. 😭,2024-09-07 14:32:46.756578,True,5,12,positive,9,False,perfect humidifier ! ! ! ! outstanding feature . could not be_NOT happier . got sale .,85,12,6.166666666666667,4,0,0.03529411764705882,2,0,0.75,0.9375,14,5,9,1
R000035,P0504,Board Game,Toys & Games,4,Best board game I've ever purchased. very durable. Worth every penny.,2024-06-08 14:32:46.756578,True,4,11,positive,6,False,best board game ever purchased . durable . worth every penny .,69,11,5.363636363636363,0,0,0.043478260869565216,1,0,0.275,0.275,14,5,6,1
R000036,P0649,Makeup Kit,Beauty & Personal Care,4,lit customer service. This makeup kit is exactly what I needed!!! Using it daily.,2023-10-29 14:32:46.756578,True,5,14,positive,10,False,lit customer service . makeup kit exactly needed ! ! ! using daily .,81,14,4.857142857142857,3,0,0.037037037037037035,0,0,0.244140625,0.125,14,6,10,1
R000039,P0881,First Aid Kit,Health & Household,5,"Absolutely love this first aid kit! incredible value. Highly recommend! Compared to my previous one, this is better.",2024-03-03 14:32:46.756578,True,6,18,positive,3,False,"absolutely love first aid kit ! incredible value . highly recommend ! compared previous one , better .",116,18,5.5,2,0,0.02586206896551724,2,0,0.3743055555555555,0.5066666666666667,14,6,3,1
R000040,P0167,Hair Dryer,Beauty & Personal Care,5,Best hair dryer I've ever purchased. great customer service. Worth every penny. Using it daily.,2024-04-26 14:32:46.756578,True,7,15,positive,4,False,best hair dryer ever purchased . great customer service . worth every penny . using daily .,95,15,5.4,0,0,0.042105263157894736,2,0,0.525,0.28750000000000003,14,4,4,0
R000041,P0743,Knife Set,Home & Kitchen,3,Acceptable knife set. meets expectations. Could be better. Bought this for my spouse.,2025-04-19 14:32:46.756578,True,2,13,neutral,4,False,acceptable knife set . meet expectation . could better . bought spouse .,85,13,5.615384615384615,0,0,0.03529411764705882,0,0,0.5,0.5,14,5,4,1
R000043,P0924,Humidifier,Health & Household,4,"outstanding features. This humidifier is exacctly what I needed! Comppared to my previous one, this is better.",2023-09-21 14:32:46.756578,False,3,17,positive,9,False,"outstanding feature . humidifier exacctly needed ! comppared previous one , better .",110,17,5.529411764705882,1,0,0.02727272727272727,1,0,0.3194444444444445,0.513888888888889,14,3,9,0
R000045,P0762,Novel,Books,5,"easy to use. Great novel, very satisfied with my purchase. Compared to my previous one, this is better.",2023-10-22 14:32:46.756578,True,3,18,positive,10,False,"easy use . great novel , satisfied purchase . compared previous one , better .",103,18,4.777777777777778,0,0,0.019417475728155338,1,0,0.44333333333333336,0.65,14,6,10,1
R000048,P0625,Hair Dryer,Beauty & Personal Care,5,"super comfortable. Great hair dryer, very satisfied with my purchase. Bought this for my spouse.",2025-06-30 14:32:46.756578,True,5,15,positive,6,False,"super comfortable . great hair dryer , satisfied purchase . bought spouse .",96,15,5.466666666666667,0,0,0.020833333333333332,1,0,0.5458333333333334,0.8041666666666667,14,0,6,0
R000053,P0103,Puzzle,Toys & Games,5,Best puzzle I've ever purchased. works perfectly. Worth every penny.,2025-06-29 14:32:46.756578,True,6,10,positive,6,False,best puzzle ever purchased . work perfectly . worth every penny .,68,10,5.9,0,0,0.04411764705882353,1,0,0.65,0.2,14,6,6,1
